Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Education,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
ste-wamia-wamia-recrute-agent-logistique-soukra-sousse,WAMIA RECRUTE – AGENT LOGISTIQUE ( soukra / sousse ),STE WAMIA,,Bonne condition physique et ré...,Stage / SIVP,,,,Confidentiel,,"CDI, Al Karama, CIVP",Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/ste-wamia/jobs/ste-wamia-wamia-recrute-agent-logistique-soukra-sousse
ste-kayan-voyages-agent-de-voyages-monastir,Agent de Voyages - Monastir,STE KAYAN VOYAGES,,Informatique | Billetterie | Amadeus,Stage / SIVP,1-2 ans,,,1050 DT,,"CDI, CIVP, CDD, Stage",Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/ste-kayan-voyages/jobs/ste-kayan-voyages-agent-de-voyages-monastir
rustica-cruises-commercial-francophone,Commercial  francophone,Rustica Cruises,,Français parfait,Stage / SIVP,,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/rustica-cruises/jobs/rustica-cruises-commercial-francophone
tsi-network-specialiste-odoo-erp,Spécialiste Odoo ERP,TSI NETWORK,,Odoo | Python | PostgreSQL,Stage / SIVP,2-5 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/tsi-network/jobs/tsi-network-specialiste-odoo-erp
viamobile-charge-commercial-developpement-reseau-agent-client-viamobile,"Chargé commercial, développement réseau ( agent/client ) – Viamobile",VIAMOBILE,,Développement et suivi de rése... | Gestion des transactions et fl... | Organisation et gestion des pr...,Stage / SIVP,1-2 ans,,,Confidentiel,,"CIVP, CDI",Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/viamobile/jobs/viamobile-charge-commercial-developpement-reseau-agent-client-viamobile
otospex-solutions-data-scientist-on-site-role-in-djerba,Data Scientist - On-Site Role in Djerba,Otospex Solutions,,Data | LLM,Stage / SIVP,2-5 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/otospex-solutions/jobs/otospex-solutions-data-scientist-on-site-role-in-djerba
xtensus,𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫 𝐇/𝐅,Xtensus,,Écoute - Rigueur  -Travail en ...,Stage / SIVP,2-5 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/xtensus/jobs/xtensus
c4i-responsable-de-formation,RESPONSABLE DE FORMATION,C4I,,commercial | gestion | microsoft 365,Stage / SIVP,6-12 mois,,,700 DT,,CIVP,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/c4i/jobs/c4i-responsable-de-formation
sta-ingenieur-en-energie-ou-en-electricite-exprimente,ingénieur (en énergie ou en électricité)exprimenté,STA,,la réalisation des études tech...,Stage / SIVP,5-7 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/sta/jobs/sta-ingenieur-en-energie-ou-en-electricite-exprimente
thera-technicien-maintenance,Technicien maintenance,THERA,,CVC,Stage / SIVP,,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/thera/jobs/thera-technicien-maintenance
