Job_ID,Titre,Societe,Description,Categories,Annees_Experience,Niveau_Experience,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
237346,Vendeur/ Caissier Zara Mall of Sousse,TUNTEX,"Pour Accompagner son développement, le groupe Indigo Company, leader du marché du Retail en Tunisie, avec plus de 15 enseignes d’envergure internationale, recherche ses futurs conseillers en mode.Véritable ambassadeur de …",commerce / vente / distribution,,,,Sousse,,,2026-03-18,18 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237346/vendeur-caissier-zara-mall-of-sousse/
237349,RESPONSABLE CONTROLE DE GESTION,Entreprise Anonyme,"La société ""L'ART DE DECORATION"" cherche un responsable contrôle de gestion, pour joindre son équipe.Son rôle consiste à assurer le pilotage de la performance économique et financière de l’entreprise. Il …",,,,2800 - 3000 TND,"Sousse Riadh, Sousse",CDI,,2026-03-18,18 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237349/responsable-controle-de-gestion/
237353,"Agent Immobilier, Chez Tecnocasa Kélibia",TECNOCASA GROUP,"Dans le cadre du développement de notre agence, nous recherchons des agents immobiliers motivés, ambitieux et prêts à relever de nouveaux défis.Missions :Prospection terrain et téléphoniqueDéveloppement et gestion d’un portefeuille …",architecture / immobilier / BTP,,,600 - 800 TND,"Kelibia, Nabeul",CDI | SIVP,,2026-03-18,18 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237353/agent-immobilier-chez-tecnocasa-k%C3%A9libia/
237295,Sourcer France,VEO WORLDWIDE SERVICES,"Chargé(e) de recherche en Recrutement ( France) ,SoussePrêt à entrer dans le monde passionnant des services B2B ?Découvrez VEO Worldwide – votre porte d'entrée vers une carrière dynamique !Depuis 19 …",consulting / étude / stratégie,,,,"Sousse, Sousse",CDI,,2026-03-18,18 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237295/sourcer-france/
237289,Développeur Sénior Wordpress (Basé à Sfax),METAM,"Metam Tunisie est une entreprise offrant des services de développement de logiciel, des solutions WEB, ainsi que des services conseil pour les implémentations des ERP. Une organisation dynamique résolument ouverte sur le monde avec des bureaux au Canada,Tunisie, Irland e France. Les projets …",informatique / télécoms,,,,Sfax,CDI,,2026-03-18,18 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237289/d%C3%A9veloppeur-s%C3%A9nior-wordpress-bas%C3%A9-%C3%A0-sfax/
237293,Customer Service Support,OUTSOURCIA,"The Outsourcia Group specialises in outsourcing services: remote, multiservice, multilingual and multichannel customer relationship management (call centres, e-mail management, chat solutions, telemarketing and customer relations on social networks), back office …",call center / télévente,,,1300 - 3000 TND,Ariana,CDI | SIVP,Teletravail,2026-03-18,18 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237293/customer-service-support/
237975,Cariste,ARTUS,Artus recrute pour le compte de son client un Cariste (H/F). Missions : Conduire un chariot élévateur pour la manutention des marchandises. Assurer le chargement et le déchargement des produits. …,recrutement / ressources humaines,,,,"Bab Bhar, Tunis",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237975/cariste/
237979,OPERATEUR PRODUCTION,PHARMAGHREB,"les Laboratoires Pharmaghreb recrute immédiatement pour son site de production situé dans la zone industrielle Charguia 2 , Ariana , des Opérateurs de production (H/F) Rattaché(e) au Superviseur de Production, Missions principales :-Réaliser …",santé / paramédical / optique,,,,"La Soukra, Ariana",CDI | CDD,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237979/prodrh-032026/
237982,operateur de fabrication formes pâteuses,PHARMAGHREB,"Pharmaghreb cherche pour son site de production situé dans la zone industrielle Charguia 2 , Ariana , Opérateur de fabrication pharmaceutique (H/F) Rattaché(e) au Superviseur de Production, vos missions seront les …",santé / paramédical / optique,,,800 - 1000 TND,"La Soukra, Ariana",CDI | CDD,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237982/operateur-de-fabrication-formes-p%C3%A2teuses/
237981,Retail Marketing Products Officer,BANK ABC,"Bank ABC is reinforcing their Retail & Digital Banking Department with the hiring of a Retail Marketing Products Officer.As part of its ongoing growth and expansion strategy, ABC Bank Tunisia is …",banque / finance / assurances,,,,Tunis,CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237981/retail-marketing-products-officer/
